Recall,Precision,Threshold
1.0,0.03638309256286784,1.1702641e-05
1.0,0.03640256959314775,1.1706179e-05
1.0,0.03642206748794858,1.1956908e-05
1.0,0.03644158628081458,1.2011057e-05
1.0,0.03646112600536193,1.21962685e-05
1.0,0.03648068669527897,1.2277035e-05
1.0,0.03650026838432636,1.241435e-05
1.0,0.036519871106337275,1.2423362e-05
1.0,0.03653949489521763,1.2471818e-05
1.0,0.03655913978494624,1.2563703e-05
1.0,0.03657880580957504,1.2756889e-05
1.0,0.03659849300322928,1.2797197e-05
1.0,0.0366182014001077,1.280114e-05
1.0,0.036637931034482756,1.28941465e-05
1.0,0.036657681940700806,1.2991942e-05
1.0,0.036677454153182305,1.3015181e-05
1.0,0.03669724770642202,1.3215436e-05
1.0,0.0367170626349892,1.3221916e-05
1.0,0.036736898973527825,1.3226544e-05
1.0,0.036756756756756756,1.3239833e-05
1.0,0.03677663601946998,1.327331e-05
1.0,0.0367965367965368,1.3407912e-05
1.0,0.036816459122902004,1.3419208e-05
1.0,0.03683640303358613,1.34219845e-05
1.0,0.03685636856368564,1.349952e-05
1.0,0.0368763557483731,1.353679e-05
1.0,0.03689636462289745,1.35701375e-05
1.0,0.03691639522258415,1.3574072e-05
1.0,0.036936447582835416,1.3623587e-05
1.0,0.03695652173913044,1.3714078e-05
1.0,0.036976617727025554,1.3859928e-05
1.0,0.036996735582154515,1.3911866e-05
1.0,0.037016875340228635,1.39718695e-05
1.0,0.037037037037037035,1.4223298e-05
1.0,0.037057220708446865,1.4303485e-05
1.0,0.03707742639040349,1.4354688e-05
1.0,0.03709765411893071,1.4362849e-05
1.0,0.03711790393013101,1.4453289e-05
1.0,0.03713817586018569,1.4525223e-05
1.0,0.03715846994535519,1.4541023e-05
1.0,0.037178786221979225,1.4654608e-05
1.0,0.037199124726477024,1.4655293e-05
1.0,0.037219485495347565,1.47591945e-05
1.0,0.03723986856516977,1.48457575e-05
1.0,0.03726027397260274,1.49957605e-05
1.0,0.03728070175438596,1.5034539e-05
1.0,0.03730115194733955,1.50634e-05
1.0,0.03732162458836443,1.5311776e-05
1.0,0.037342119714442616,1.5392725e-05
1.0,0.03736263736263736,1.541492e-05
1.0,0.037383177570093455,1.5481555e-05
1.0,0.0374037403740374,1.5549738e-05
1.0,0.03742432581177765,1.5607175e-05
1.0,0.037444933920704845,1.5629292e-05
1.0,0.03746556473829201,1.5859465e-05
1.0,0.037486218302094816,1.5994035e-05
1.0,0.03750689464975179,1.6062622e-05
1.0,0.037527593818984545,1.6089603e-05
1.0,0.03754831584759801,1.6194901e-05
1.0,0.03756906077348066,1.624838e-05
1.0,0.037589828634604756,1.651579e-05
1.0,0.03761061946902655,1.6620785e-05
1.0,0.03763143331488655,1.6694368e-05
1.0,0.03765227021040975,1.690872e-05
1.0,0.037673130193905814,1.7088822e-05
1.0,0.037694013303769404,1.7113709e-05
1.0,0.03771491957848031,1.7245135e-05
1.0,0.03773584905660377,1.7370114e-05
1.0,0.03775680177679067,1.737477e-05
1.0,0.03777777777777778,1.7396342e-05
1.0,0.03779877709838799,1.7858212e-05
1.0,0.03781979977753059,1.8217757e-05
1.0,0.037840845854201444,1.8247578e-05
1.0,0.0378619153674833,1.8292933e-05
1.0,0.03788300835654596,1.829438e-05
1.0,0.0379041248606466,1.831227e-05
1.0,0.03792526491912995,1.8386765e-05
1.0,0.03794642857142857,1.8535215e-05
1.0,0.03796761585706309,1.8538396e-05
1.0,0.03798882681564246,1.8606072e-05
1.0,0.03801006148686417,1.8669756e-05
1.0,0.03803131991051454,1.8849012e-05
1.0,0.038052602126468944,1.8863182e-05
1.0,0.03807390817469205,1.9120509e-05
1.0,0.0380952380952381,1.912257e-05
1.0,0.03811659192825112,1.9129848e-05
1.0,0.03813796971396523,1.9218514e-05
1.0,0.038159371492704826,1.921877e-05
1.0,0.0381807973048849,1.9364203e-05
1.0,0.038202247191011236,1.9537974e-05
1.0,0.03822372119168072,1.965633e-05
1.0,0.03824521934758155,1.9696317e-05
